= ASSIGNOP
return RETURN
char CHAR
i32 I32
f32 F32
bool BOOL
string STRING
main MAIN
mut MUT
fn FN
let LET
while WHILE
break BREAK
[ OSQUARE
] CSQUARE
( OPAREN
) CPAREN
{ OBRACE
} CBRACE
; SEMICOLON
: COLON
, COMMA
if IF
else ELSE
eif ELSEIF
scan SCAN
print PRINT
+ PLUS
- MINUS
* MUL
/ DIV
and AND
or OR
not NOT
< LT
<= LE
== EQ
> GT
>= GE 
<> NE
-> RARROW
. DOT
